Drilling_ID,Setup_Time_Hours,Drilling_Time_Hours,Maintenance_Time_Hours,Equipment_MTBF_Hours,Worker_Shift_Hours,Worker_Efficiency_Score,Supply_Delivery_Days,Weather_Condition,Terrain_Type,Total_Time_Hours,Drilling_Efficiency
1,2,34,9,316,7,68.38,8,Rain,Sandy,45,0.7555555555555555
2,7,85,21,451,8,61.24,2,Clear,Mixed,113,0.7522123893805309
3,2,62,9,181,9,96.05,8,Clear,Sandy,73,0.8493150684931506
4,4,73,14,342,9,81.91,14,Clear,Rocky,91,0.8021978021978022
5,6,99,28,226,8,76.72,2,Rain,Mixed,133,0.7443609022556391
6,2,78,6,356,8,72.7,10,Rain,Rocky,86,0.9069767441860465
7,6,20,25,104,11,86.61,13,Rain,Rocky,51,0.39215686274509803
8,8,28,14,168,11,72.87,5,Storm,Mixed,50,0.56
9,6,96,25,101,6,75.16,6,Foggy,Mixed,127,0.7559055118110236
10,7,43,16,313,10,79.77,14,Storm,Clay,66,0.6515151515151515
11,5,65,10,169,10,97.97,8,Storm,Rocky,80,0.8125
12,5,33,28,351,9,84.95,9,Storm,Mixed,66,0.5
13,5,49,10,248,9,97.27,14,Storm,Clay,64,0.765625
14,4,96,24,445,10,69.9,6,Storm,Clay,124,0.7741935483870968
15,6,30,24,192,9,99.59,10,Clear,Rocky,60,0.5
16,9,81,19,491,7,89.64,6,Clear,Clay,109,0.7431192660550459
17,6,77,22,431,9,74.81,8,Foggy,Mixed,105,0.7333333333333333
18,8,81,18,275,8,75.69,6,Rain,Sandy,107,0.7570093457943925
19,7,98,19,261,9,79.89,6,Clear,Sandy,124,0.7903225806451613
20,3,98,7,351,8,94.18,11,Rain,Rocky,108,0.9074074074074074
21,6,56,26,267,9,94.76,5,Storm,Mixed,88,0.6363636363636364
22,4,73,6,142,8,82.23,1,Clear,Clay,83,0.8795180722891566
23,7,77,18,349,9,62.2,1,Storm,Mixed,102,0.7549019607843137
24,3,45,7,253,9,73.08,13,Rain,Mixed,55,0.8181818181818182
25,4,75,21,257,8,62.14,1,Foggy,Rocky,100,0.75
26,6,92,13,288,6,81.87,12,Clear,Mixed,111,0.8288288288288288
27,8,31,29,429,10,98.39,5,Foggy,Mixed,68,0.45588235294117646
28,4,53,12,336,9,73.79,6,Clear,Clay,69,0.7681159420289855
29,3,39,25,443,11,81.17,5,Storm,Sandy,67,0.582089552238806
30,5,51,28,497,11,89.62,4,Clear,Rocky,84,0.6071428571428571
31,8,32,22,444,7,90.27,6,Storm,Mixed,62,0.5161290322580645
32,3,49,5,422,9,79.15,4,Clear,Sandy,57,0.8596491228070176
33,9,98,17,386,8,84.78,6,Foggy,Sandy,124,0.7903225806451613
34,6,83,22,128,8,94.33,1,Clear,Rocky,111,0.7477477477477478
35,9,78,14,472,10,78.84,7,Clear,Mixed,101,0.7722772277227723
36,9,90,26,294,11,64.52,2,Clear,Clay,125,0.72
37,8,82,8,255,9,94.65,14,Clear,Clay,98,0.8367346938775511
38,5,80,15,127,9,92.64,3,Storm,Rocky,100,0.8
39,5,82,21,401,6,76.56,1,Storm,Sandy,108,0.7592592592592593
40,2,96,13,479,10,95.59,14,Storm,Sandy,111,0.8648648648648649
41,7,78,28,184,8,85.52,3,Foggy,Clay,113,0.6902654867256637
